File -> Method -> CC
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> fullMatchQuestionnaire -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> fullMatchQuestionnaireOther -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> otherQuestionnaire -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> getTwoQuestionnaires -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> getTwoQuestionnairesReversed -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> infoWalking -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> infoSleeping -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> infoSwimming -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> lenaQuestionnaireWithInfo -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> getWeight -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> setWeight -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> getAnswer -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> setAnswer -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> getTags -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> setTags -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> getQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ExtendedAnswer.java -> setQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> getExtendedAnswers -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> setExtendedAnswers -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> getVariantAnswers -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> setVariantAnswers -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Information.java -> toString -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> getIs_extended -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> setIs_extended -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> getTags -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> setTags -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> getQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Question.java -> setQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> getUser -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setUser -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> getInformation -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setInformation -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> getSearchInformation -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setSearchInformation -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> isCensored -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setCensored -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> getBlackList -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setBlackList -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> getFavList -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> setFavList -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> equals -> 3
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> toString -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> addBlack -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Questionnaire.java -> addFav -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> setId -> 1
